gender,sexual_orientation,location_type,numeric_value(location),income_bracket,numeric_value(income),education_level,interest_tags,app_usage_time_min,app_usage_time_label,swipe_right_ratio,swipe_right_label,likes_received,mutual_matches,profile_pics_count,bio_length,message_sent_count,emoji_usage_rate,last_active_hour,swipe_time_of_day,match_outcome,target_variable
Transgender,Gay,Suburban,2,Middle,3,PhD,"Motorcycling, Movies, Foodie",197,Extreme User,0.72,Swipe Maniac,165,16,2,99,77,0.37,0,Late Night,One-sided Like,0
Prefer Not to Say,Queer,Rural,4,Lower-Middle,2,PhD,"Makeup, Spirituality, Hiking",269,Extreme User,0.52,Optimistic,0,0,0,406,96,0.28,17,Late Night,Ghosted,2
Female,Straight,Metro,0,Lower-Middle,2,High School,"Startups, History, Crafting",199,Extreme User,0.55,Optimistic,83,17,5,151,4,0.52,4,After Midnight,Catfished,0
Female,Queer,Metro,0,Lower-Middle,2,Master’s,"Traveling, Poetry, Podcasts",163,Addicted,0.32,Balanced,142,14,1,268,1,0.28,5,Morning,Relationship Formed,0
Transgender,Asexual,Metro,0,Low,1,MBA,"Dancing, Hiking, Languages",4,Barely,0.74,Swipe Maniac,93,18,4,13,85,0.13,3,Late Night,Relationship Formed,0
Genderfluid,Straight,Urban,1,High,5,Associate’s,"Hiking, Astrology, Fashion",233,Extreme User,0.29,Balanced,137,4,4,497,50,0.42,16,After Midnight,Date Happened,0
Prefer Not to Say,Lesbian,Remote Area,5,High,5,Diploma,"Gaming, Crafting, Fashion",5,Very Low,0.36,Balanced,116,2,0,439,69,0.69,2,Evening,Catfished,0
Prefer Not to Say,Lesbian,Suburban,2,Low,1,PhD,"DIY, Social Activism, Binge-Watching",85,High,0.77,Swipe Maniac,28,11,2,35,44,0.18,22,Early Morning,Catfished,0
Genderfluid,Straight,Metro,0,Very Low,0,Diploma,"Clubbing, Tattoos, Traveling",85,High,0.57,Optimistic,177,19,2,434,19,0.09,21,Late Night,Chat Ignored,1
Female,Asexual,Small Town,3,Very High,6,Associate’s,"Memes, Meditation, Anime",199,Extreme User,0.38,Balanced,51,17,4,394,81,0.33,17,Evening,No Action,0
Genderfluid,Asexual,Rural,4,Upper-Middle,4,High School,"Gaming, History, Yoga",117,High,0.61,Optimistic,61,11,2,434,67,0.25,16,Afternoon,Date Happened,0
Female,Bisexual,Rural,4,Middle,3,Associate’s,"Social Activism, Stand-up Comedy, Startups",49,Moderate,0.69,Optimistic,111,2,5,307,3,0.17,11,Afternoon,Relationship Formed,0
Transgender,Asexual,Suburban,2,Very Low,0,Diploma,"Meditation, Poetry, Reading",139,Addicted,0.78,Swipe Maniac,184,18,4,342,97,0.35,1,After Midnight,Catfished,0
Non-binary,Gay,Metro,0,Middle,3,Master’s,"Podcasts, K-pop, Anime",21,Low,0.75,Swipe Maniac,47,14,4,399,65,0.06,19,After Midnight,One-sided Like,0
Non-binary,Asexual,Rural,4,Upper-Middle,4,High School,"Cooking, Languages, History",61,High,0.78,Swipe Maniac,121,20,1,262,35,0.13,10,Late Night,No Action,0
Genderfluid,Queer,Rural,4,Upper-Middle,4,Bachelor’s,"Dancing, Makeup, Pets",215,Extreme User,0.52,Optimistic,47,17,6,264,50,0.04,11,After Midnight,Relationship Formed,0
Male,Queer,Remote Area,5,Low,1,No Formal Education,"Gaming, Languages, Podcasts",11,Very Low,0.42,Optimistic,91,14,6,10,10,0.05,18,Evening,No Action,0
Female,Asexual,Metro,0,Lower-Middle,2,Diploma,"K-pop, History, Traveling",169,Addicted,0.41,Optimistic,88,26,5,388,47,0.24,20,Evening,Relationship Formed,0
Male,Pansexual,Metro,0,Very High,6,No Formal Education,"Hiking, Movies, Astrology",287,Extreme User,0.56,Optimistic,28,4,6,108,48,0.11,4,Afternoon,Ghosted,2
Non-binary,Pansexual,Metro,0,High,5,No Formal Education,"Hiking, Traveling, Writing",59,Moderate,0.72,Swipe Maniac,146,22,0,201,83,0.18,14,Morning,No Action,0
Prefer Not to Say,Pansexual,Metro,0,Very Low,0,Master’s,"Skating, Motorcycling, Gardening",81,High,0.61,Optimistic,73,17,3,248,36,0.33,14,Evening,Blocked,0
Male,Bisexual,Rural,4,Middle,3,Diploma,"K-pop, Painting, Startups",15,Low,0.79,Swipe Maniac,158,3,6,401,86,0.18,1,Early Morning,Chat Ignored,1
Female,Pansexual,Remote Area,5,Middle,3,Bachelor’s,"Podcasts, MMA, Reading",258,Extreme User,0.22,Balanced,3,2,6,68,5,0.27,21,Morning,Ghosted,2
Female,Straight,Rural,4,Very High,6,PhD,"Writing, Clubbing, Fitness",109,High,0.47,Optimistic,198,26,3,284,99,0.37,20,Morning,Relationship Formed,0
Transgender,Demisexual,Rural,4,Middle,3,Master’s,"Tattoos, Writing, Traveling",169,Addicted,0.41,Optimistic,130,13,4,165,49,0.52,17,Afternoon,Mutual Match,0
Prefer Not to Say,Demisexual,Metro,0,Lower-Middle,2,Postdoc,"Skating, Stand-up Comedy, Anime",205,Extreme User,0.51,Optimistic,79,27,4,242,14,0.28,7,Early Morning,Mutual Match,0
Male,Lesbian,Rural,4,Lower-Middle,2,Bachelor’s,"Binge-Watching, Social Activism, Spirituality",174,Addicted,0.6,Optimistic,63,7,2,227,79,0.22,16,Afternoon,Ghosted,2
Genderfluid,Pansexual,Remote Area,5,High,5,Postdoc,"Coding, Clubbing, Hiking",146,Addicted,0.6,Optimistic,30,22,5,159,47,0.66,1,Afternoon,Chat Ignored,1
Female,Bisexual,Metro,0,Very Low,0,MBA,"Startups, Astrology, Social Activism",54,Moderate,0.37,Balanced,16,16,0,302,50,0.24,20,Early Morning,Blocked,0
Genderfluid,Queer,Rural,4,High,5,Master’s,"Foodie, Makeup, Art",83,High,0.71,Swipe Maniac,45,18,4,480,13,0.35,21,Morning,Blocked,0
Prefer Not to Say,Lesbian,Rural,4,Very Low,0,PhD,"Clubbing, Tattoos, Reading",41,Moderate,0.79,Swipe Maniac,133,0,6,55,91,0.38,22,Evening,Date Happened,0
Prefer Not to Say,Queer,Rural,4,Very High,6,Associate’s,"DIY, Gaming, Spirituality",279,Extreme User,0.48,Optimistic,159,0,6,303,66,0.08,10,Late Night,Ghosted,2
Transgender,Gay,Rural,4,Low,1,MBA,"Makeup, Art, Skating",129,Addicted,0.27,Balanced,154,6,5,156,99,0.21,15,Evening,Relationship Formed,0
Genderfluid,Bisexual,Remote Area,5,Upper-Middle,4,MBA,"Reading, Binge-Watching, Podcasts",46,Moderate,0.75,Swipe Maniac,179,29,4,340,61,0.47,14,Evening,No Action,0
Prefer Not to Say,Asexual,Small Town,3,High,5,No Formal Education,"Painting, Coding, Fashion",41,Moderate,0.9,Swipe Maniac,158,13,5,162,20,0.41,23,Early Morning,Date Happened,0
Genderfluid,Straight,Remote Area,5,Very High,6,No Formal Education,"Foodie, Fashion, K-pop",33,Moderate,0.54,Optimistic,34,13,0,189,40,0.17,22,Evening,No Action,0
Male,Lesbian,Remote Area,5,Very High,6,Postdoc,"Crafting, Memes, Astrology",188,Extreme User,0.82,Swipe Maniac,137,24,3,216,73,0.19,10,Afternoon,Catfished,0
Male,Lesbian,Metro,0,Upper-Middle,4,High School,"Politics, Dancing, Gardening",265,Extreme User,0.71,Swipe Maniac,61,14,6,107,13,0.14,16,After Midnight,Blocked,0
Non-binary,Pansexual,Urban,1,Low,1,Associate’s,"Crafting, Sneaker Culture, Spirituality",167,Addicted,0.89,Swipe Maniac,149,22,1,103,22,0.4,11,After Midnight,Relationship Formed,0
Male,Lesbian,Rural,4,Lower-Middle,2,Master’s,"Gardening, Cooking, Movies",196,Extreme User,0.53,Optimistic,45,25,5,238,34,0.31,6,Afternoon,One-sided Like,0
Non-binary,Lesbian,Small Town,3,Very High,6,MBA,"Fashion, Traveling, Gardening",28,Low,0.21,Balanced,39,6,0,237,32,0.34,20,Early Morning,Ghosted,2
Genderfluid,Gay,Urban,1,Middle,3,No Formal Education,"Podcasts, Gardening, DIY",118,High,0.51,Optimistic,75,8,1,106,35,0.31,21,Evening,Mutual Match,0
Female,Demisexual,Suburban,2,Low,1,Master’s,"Binge-Watching, Art, Cooking",206,Extreme User,0.5,Optimistic,163,5,4,412,70,0.17,21,Evening,Mutual Match,0
Female,Asexual,Suburban,2,Very Low,0,Master’s,"Tattoos, Reading, Art",116,High,0.31,Balanced,89,27,6,48,60,0.09,4,After Midnight,Blocked,0
Prefer Not to Say,Demisexual,Small Town,3,Lower-Middle,2,No Formal Education,"Spirituality, Tattoos, Sneaker Culture",159,Addicted,0.83,Swipe Maniac,137,11,1,198,6,0.34,20,Morning,Blocked,0
Non-binary,Pansexual,Remote Area,5,Middle,3,Diploma,"Anime, Spirituality, Dancing",163,Addicted,0.44,Optimistic,185,29,2,411,30,0.51,1,Evening,One-sided Like,0
Male,Bisexual,Small Town,3,Very Low,0,No Formal Education,"Art, Cars, Social Activism",271,Extreme User,0.6,Optimistic,154,4,3,186,81,0.48,5,Morning,No Action,0
Male,Queer,Urban,1,Very High,6,Master’s,"Poetry, Languages, K-pop",115,High,0.29,Balanced,56,10,2,486,45,0.25,12,Morning,Relationship Formed,0
Non-binary,Gay,Small Town,3,Very High,6,Diploma,"Languages, Spirituality, Tech",288,Extreme User,0.32,Balanced,199,14,2,271,49,0.32,18,Late Night,Mutual Match,0
Male,Asexual,Remote Area,5,Lower-Middle,2,PhD,"Parenting, Tech, Fashion",268,Extreme User,0.51,Optimistic,0,0,4,498,94,0.53,4,Evening,Chat Ignored,1
Male,Pansexual,Urban,1,Lower-Middle,2,Bachelor’s,"Clubbing, Cars, Music",52,Moderate,0.43,Optimistic,116,25,2,7,42,0.06,13,After Midnight,Chat Ignored,1
Non-binary,Asexual,Small Town,3,Upper-Middle,4,No Formal Education,"Social Activism, Binge-Watching, Foodie",273,Extreme User,0.77,Swipe Maniac,101,27,4,254,95,0.24,22,After Midnight,Ghosted,2
Female,Bisexual,Suburban,2,Lower-Middle,2,Diploma,"Dancing, Spirituality, Fitness",9,Very Low,1,Swipe Maniac,15,12,1,353,8,0.4,18,Early Morning,Mutual Match,0
Transgender,Queer,Urban,1,High,5,Associate’s,"DIY, Crafting, Fitness",174,Addicted,0.37,Balanced,151,2,6,343,11,0.57,9,After Midnight,Ghosted,2
Male,Lesbian,Small Town,3,Middle,3,High School,"Traveling, Yoga, Tech",80,High,0.5,Optimistic,141,13,5,438,97,0.55,3,Afternoon,Mutual Match,0
Prefer Not to Say,Lesbian,Remote Area,5,Lower-Middle,2,Master’s,"Memes, Traveling, Yoga",133,Addicted,0.94,Swipe Maniac,188,19,1,87,36,0.08,7,Early Morning,Ghosted,2
Female,Lesbian,Remote Area,5,Very Low,0,No Formal Education,"Music, Movies, Fashion",66,High,0.34,Balanced,114,16,4,87,69,0.09,21,After Midnight,Ghosted,2
Non-binary,Bisexual,Rural,4,Very Low,0,PhD,"Makeup, Movies, Parenting",119,High,0.15,Choosy,85,7,6,82,77,0.46,10,Evening,One-sided Like,0
Prefer Not to Say,Queer,Metro,0,Low,1,Bachelor’s,"Sneaker Culture, Motorcycling, Stand-up Comedy",140,Addicted,0.59,Optimistic,104,23,3,409,48,0.52,9,Early Morning,Relationship Formed,0
Genderfluid,Queer,Metro,0,Upper-Middle,4,Master’s,"Tech, DIY, Cooking",140,Addicted,0.58,Optimistic,0,0,0,328,59,0.12,1,Late Night,Mutual Match,0
Transgender,Bisexual,Suburban,2,Middle,3,No Formal Education,"Traveling, Gardening, Fashion",62,High,0.45,Optimistic,184,10,3,240,92,0.26,5,Evening,One-sided Like,0
Transgender,Bisexual,Metro,0,Low,1,Diploma,"Coding, Foodie, Startups",279,Extreme User,0.57,Optimistic,146,15,5,230,58,0.27,6,Late Night,Ghosted,2
Prefer Not to Say,Pansexual,Suburban,2,Upper-Middle,4,Diploma,"Cooking, Art, Board Games",85,High,0.92,Swipe Maniac,152,5,1,95,20,0.55,16,Morning,Blocked,0
Genderfluid,Gay,Suburban,2,Upper-Middle,4,Master’s,"Pets, Tattoos, Anime",111,High,0.84,Swipe Maniac,86,19,0,197,18,0.26,15,After Midnight,Mutual Match,0
Genderfluid,Pansexual,Urban,1,High,5,High School,"Art, Memes, Cooking",87,High,0.4,Optimistic,79,10,1,94,75,0.34,4,Afternoon,Instant Match,0
Transgender,Queer,Remote Area,5,Very Low,0,Postdoc,"K-pop, Social Activism, Makeup",112,High,0.83,Swipe Maniac,147,22,1,463,89,0.33,20,Afternoon,Mutual Match,0
Non-binary,Demisexual,Suburban,2,High,5,Associate’s,"Fashion, Social Activism, Clubbing",142,Addicted,0.33,Balanced,28,11,1,439,43,0.21,17,After Midnight,Blocked,0
Female,Queer,Small Town,3,High,5,Master’s,"History, Reading, Tattoos",11,Very Low,0.49,Optimistic,87,7,6,16,74,0.13,20,After Midnight,No Action,0
Non-binary,Queer,Rural,4,Upper-Middle,4,Master’s,"Gaming, Investing, Motorcycling",94,High,0.39,Balanced,88,25,3,66,28,0.57,5,After Midnight,Blocked,0
Male,Straight,Metro,0,Very Low,0,Postdoc,"Poetry, Cooking, Languages",223,Extreme User,0.26,Balanced,154,26,2,257,38,0.36,12,After Midnight,Date Happened,0
Non-binary,Queer,Remote Area,5,High,5,Master’s,"Anime, Sneaker Culture, History",50,Moderate,0.3,Balanced,68,17,1,378,46,0.08,20,Evening,Instant Match,0
Male,Demisexual,Small Town,3,Low,1,Diploma,"Clubbing, K-pop, Hiking",88,High,0.74,Swipe Maniac,85,26,1,346,87,0.15,11,After Midnight,No Action,0
Prefer Not to Say,Gay,Urban,1,High,5,No Formal Education,"Crafting, Cars, Writing",210,Extreme User,0.35,Balanced,45,20,2,500,9,0.63,4,Evening,Chat Ignored,1
Transgender,Demisexual,Remote Area,5,Upper-Middle,4,No Formal Education,"Social Activism, Makeup, Spirituality",25,Low,0.19,Choosy,189,10,4,205,38,0.39,15,Early Morning,Blocked,0
Female,Demisexual,Rural,4,Low,1,Bachelor’s,"Foodie, Crafting, Fashion",79,High,0.86,Swipe Maniac,6,3,2,138,92,0.29,23,Morning,Ghosted,2
Transgender,Gay,Rural,4,Low,1,Bachelor’s,"Gaming, Motorcycling, K-pop",106,High,0.55,Optimistic,122,2,2,76,91,0.27,8,Morning,One-sided Like,0
Male,Gay,Rural,4,High,5,MBA,"Painting, Fitness, Social Activism",15,Low,0.3,Balanced,158,29,5,186,30,0.42,23,Early Morning,Ghosted,2
Female,Asexual,Suburban,2,High,5,MBA,"Art, Meditation, Running",144,Addicted,0.33,Balanced,112,17,3,31,55,0.24,14,After Midnight,Chat Ignored,1
Non-binary,Pansexual,Suburban,2,Upper-Middle,4,MBA,"Podcasts, Politics, Dancing",238,Extreme User,0.26,Balanced,168,23,0,235,67,0.24,2,After Midnight,Mutual Match,0
Prefer Not to Say,Gay,Remote Area,5,Very Low,0,High School,"Traveling, Coding, Stand-up Comedy",4,Barely,0.76,Swipe Maniac,95,12,4,327,38,0.37,4,Early Morning,One-sided Like,0
Prefer Not to Say,Queer,Rural,4,High,5,No Formal Education,"Music, Art, Spirituality",299,Extreme User,0.68,Optimistic,17,1,5,496,99,0.07,23,Early Morning,Date Happened,0
Female,Bisexual,Remote Area,5,Very Low,0,Bachelor’s,"Makeup, Pets, Music",145,Addicted,0.71,Swipe Maniac,145,19,1,8,91,0.55,13,Afternoon,Mutual Match,0
Non-binary,Gay,Suburban,2,Very Low,0,No Formal Education,"Clubbing, Dancing, K-pop",140,Addicted,0.26,Balanced,175,30,1,38,3,0.06,11,Afternoon,Mutual Match,0
Female,Gay,Rural,4,High,5,Postdoc,"Investing, Clubbing, Languages",162,Addicted,0.39,Balanced,9,6,3,7,98,0.52,13,Evening,Instant Match,0
Prefer Not to Say,Gay,Rural,4,Very Low,0,Bachelor’s,"Stand-up Comedy, Politics, Writing",36,Moderate,0.53,Optimistic,85,12,0,290,44,0.36,3,Afternoon,Ghosted,2
Transgender,Queer,Urban,1,High,5,Diploma,"Cooking, Astrology, Politics",276,Extreme User,0.3,Balanced,99,3,0,493,42,0.42,3,Early Morning,One-sided Like,0
Prefer Not to Say,Demisexual,Suburban,2,Very High,6,PhD,"Movies, Spirituality, Tech",189,Extreme User,0.69,Optimistic,157,6,2,57,4,0.32,12,Early Morning,Chat Ignored,1
Non-binary,Straight,Remote Area,5,Lower-Middle,2,PhD,"Pets, Foodie, Writing",110,High,0.36,Balanced,31,27,5,18,63,0.34,6,Evening,One-sided Like,0
Female,Lesbian,Urban,1,Middle,3,Diploma,"Foodie, Tattoos, Dancing",279,Extreme User,0.43,Optimistic,165,9,2,416,92,0.11,23,Morning,No Action,0
Male,Demisexual,Remote Area,5,Very High,6,No Formal Education,"Sneaker Culture, History, Board Games",65,High,0.52,Optimistic,81,24,1,416,30,0.31,13,Early Morning,One-sided Like,0
Prefer Not to Say,Straight,Small Town,3,High,5,Associate’s,"Cooking, Meditation, Movies",137,Addicted,0.88,Swipe Maniac,197,1,0,415,76,0.36,19,After Midnight,Relationship Formed,0
Male,Lesbian,Remote Area,5,Very High,6,PhD,"Parenting, Photography, Meditation",69,High,0.55,Optimistic,169,22,6,405,82,0.55,5,Late Night,Relationship Formed,0
Transgender,Pansexual,Remote Area,5,Very Low,0,Master’s,"Parenting, Meditation, Spirituality",76,High,0.42,Optimistic,91,8,5,98,38,0.51,22,Afternoon,Mutual Match,0
Female,Demisexual,Metro,0,Lower-Middle,2,Diploma,"Skating, Fitness, Painting",221,Extreme User,0.62,Optimistic,160,19,6,201,55,0.22,8,Late Night,One-sided Like,0
Male,Straight,Rural,4,Very Low,0,Diploma,"Makeup, Podcasts, Tattoos",69,High,0.45,Optimistic,178,28,3,75,34,0.12,6,Early Morning,Chat Ignored,1
Transgender,Queer,Metro,0,Upper-Middle,4,Postdoc,"Politics, K-pop, DIY",233,Extreme User,0.8,Swipe Maniac,117,16,0,5,63,0.26,0,Late Night,Ghosted,2
Non-binary,Straight,Small Town,3,Upper-Middle,4,Associate’s,"Podcasts, Writing, Reading",112,High,0.24,Balanced,48,23,6,49,45,0.06,14,Late Night,Ghosted,2
Male,Lesbian,Remote Area,5,Low,1,MBA,"DIY, Reading, Parenting",198,Extreme User,0.19,Choosy,164,5,0,42,57,0.32,4,Late Night,Instant Match,0
Prefer Not to Say,Gay,Remote Area,5,Low,1,MBA,"Social Activism, Binge-Watching, Gaming",287,Extreme User,0.5,Optimistic,107,30,4,216,99,0.27,3,Early Morning,Mutual Match,0
Genderfluid,Pansexual,Urban,1,High,5,Associate’s,"History, Music, Sneaker Culture",290,Extreme User,0.95,Swipe Maniac,46,21,5,343,61,0.21,12,Evening,Blocked,0
Transgender,Straight,Small Town,3,Middle,3,Associate’s,"Tech, Meditation, Startups",177,Addicted,0.62,Optimistic,11,6,3,359,51,0.41,20,Evening,Chat Ignored,1
Male,Asexual,Rural,4,Very Low,0,Postdoc,"Social Activism, Music, Dancing",173,Addicted,0.1,Choosy,12,10,4,27,70,0.35,6,Early Morning,Chat Ignored,1
Prefer Not to Say,Lesbian,Rural,4,Very Low,0,Postdoc,"Dancing, Writing, Cars",220,Extreme User,0.41,Optimistic,75,9,6,39,74,0.2,18,After Midnight,No Action,0
Male,Lesbian,Rural,4,Low,1,MBA,"Cooking, Binge-Watching, Gaming",190,Extreme User,0.53,Optimistic,3,1,4,325,96,0.16,18,Late Night,Mutual Match,0
Transgender,Demisexual,Urban,1,Upper-Middle,4,High School,"Crafting, Podcasts, Investing",56,Moderate,0.87,Swipe Maniac,189,28,2,312,68,0.7,6,Evening,Date Happened,0
Genderfluid,Pansexual,Small Town,3,Very Low,0,Associate’s,"Traveling, Reading, Running",226,Extreme User,0.39,Balanced,71,18,6,489,89,0.54,2,Early Morning,Date Happened,0
Transgender,Queer,Rural,4,Lower-Middle,2,No Formal Education,"Motorcycling, K-pop, Dancing",142,Addicted,0.46,Optimistic,48,26,3,173,82,0.13,6,After Midnight,One-sided Like,0
Non-binary,Queer,Rural,4,High,5,Diploma,"Pets, History, Foodie",26,Low,0.23,Balanced,183,17,1,421,71,0.34,12,Early Morning,Blocked,0
Genderfluid,Straight,Suburban,2,Middle,3,PhD,"Coding, Languages, Board Games",226,Extreme User,0.66,Optimistic,92,28,3,241,47,0.04,6,Afternoon,One-sided Like,0
Non-binary,Bisexual,Rural,4,High,5,PhD,"Coding, Fashion, Startups",69,High,0.3,Balanced,127,0,4,53,21,0.47,1,Evening,Relationship Formed,0
Male,Straight,Suburban,2,Middle,3,Postdoc,"Reading, Hiking, Photography",1,Barely,0.33,Balanced,63,20,1,410,0,0.16,16,Morning,Blocked,0
Non-binary,Gay,Metro,0,Very Low,0,No Formal Education,"Makeup, Clubbing, Writing",250,Extreme User,0.41,Optimistic,180,16,4,412,45,0.35,3,Evening,Chat Ignored,1
Male,Straight,Metro,0,Middle,3,Bachelor’s,"Memes, Art, Startups",24,Low,0.97,Swipe Maniac,71,7,6,302,36,0.53,23,After Midnight,Chat Ignored,1
Prefer Not to Say,Gay,Metro,0,High,5,Diploma,"Traveling, Motorcycling, Anime",238,Extreme User,1,Swipe Maniac,176,26,3,67,55,0.03,3,Early Morning,Instant Match,0
Non-binary,Straight,Suburban,2,High,5,MBA,"Music, Sneaker Culture, Pets",267,Extreme User,0.78,Swipe Maniac,166,9,6,407,52,0.22,11,After Midnight,Instant Match,0
Genderfluid,Lesbian,Urban,1,High,5,Postdoc,"Meditation, Foodie, DIY",276,Extreme User,0.31,Balanced,129,25,3,462,32,0.47,19,Late Night,Blocked,0
Female,Queer,Rural,4,Lower-Middle,2,Associate’s,"Startups, Cooking, Painting",21,Low,0.55,Optimistic,45,7,4,150,71,0.3,14,Evening,One-sided Like,0
Prefer Not to Say,Pansexual,Rural,4,Lower-Middle,2,Associate’s,"Tattoos, Parenting, Politics",225,Extreme User,0.29,Balanced,59,12,6,329,82,0.35,1,Late Night,Mutual Match,0
Genderfluid,Asexual,Metro,0,Lower-Middle,2,Associate’s,"Sneaker Culture, Clubbing, Startups",156,Addicted,0.65,Optimistic,113,12,6,110,13,0.17,16,After Midnight,Blocked,0
Prefer Not to Say,Pansexual,Suburban,2,High,5,No Formal Education,"Hiking, Anime, Coding",84,High,0.47,Optimistic,164,15,4,479,43,0.28,5,Morning,No Action,0
Transgender,Gay,Rural,4,Very Low,0,Diploma,"Photography, Crafting, Board Games",251,Extreme User,0.61,Optimistic,103,23,0,420,66,0.09,19,Evening,Mutual Match,0
Male,Straight,Metro,0,Middle,3,Master’s,"Investing, History, Running",257,Extreme User,0.39,Balanced,173,5,5,158,16,0.19,23,Afternoon,Chat Ignored,1
Non-binary,Lesbian,Small Town,3,Low,1,Postdoc,"Astrology, Spirituality, Motorcycling",21,Low,0.67,Optimistic,160,21,2,369,37,0.35,20,Afternoon,Mutual Match,0
Prefer Not to Say,Bisexual,Small Town,3,Upper-Middle,4,MBA,"Fashion, Stand-up Comedy, Sneaker Culture",129,Addicted,0.65,Optimistic,96,30,3,308,96,0.03,0,Late Night,One-sided Like,0
Non-binary,Pansexual,Small Town,3,Upper-Middle,4,MBA,"Dancing, Traveling, Startups",207,Extreme User,0.35,Balanced,84,7,1,351,71,0.21,22,Morning,One-sided Like,0
Non-binary,Bisexual,Urban,1,Middle,3,No Formal Education,"Clubbing, Startups, Movies",21,Low,0.31,Balanced,74,22,4,356,63,0.38,16,Evening,Mutual Match,0
Male,Asexual,Urban,1,Upper-Middle,4,Associate’s,"Fitness, Art, Foodie",36,Moderate,0.52,Optimistic,45,19,4,76,77,0.34,20,After Midnight,No Action,0
Non-binary,Pansexual,Urban,1,Upper-Middle,4,Associate’s,"Fashion, Gardening, Languages",266,Extreme User,0.48,Optimistic,27,9,5,251,96,0.08,22,Afternoon,Ghosted,2
Non-binary,Straight,Metro,0,Very High,6,Bachelor’s,"Politics, Stand-up Comedy, Traveling",23,Low,0.75,Swipe Maniac,51,19,2,422,86,0.22,1,After Midnight,Mutual Match,0
Transgender,Demisexual,Metro,0,Middle,3,Master’s,"Astrology, Hiking, Dancing",164,Addicted,0.75,Swipe Maniac,48,23,2,247,81,0.25,20,Evening,Mutual Match,0
Prefer Not to Say,Bisexual,Metro,0,Very High,6,PhD,"Tech, DIY, Cooking",137,Addicted,0.15,Choosy,46,8,3,143,10,0.25,11,Early Morning,Chat Ignored,1
Prefer Not to Say,Bisexual,Suburban,2,Upper-Middle,4,Master’s,"Board Games, Poetry, Parenting",32,Moderate,0.35,Balanced,164,8,4,451,98,0.2,22,Morning,No Action,0
Prefer Not to Say,Bisexual,Metro,0,Lower-Middle,2,Postdoc,"Astrology, Cooking, Running",270,Extreme User,0.57,Optimistic,41,22,3,348,46,0.06,23,Evening,Date Happened,0
Female,Straight,Metro,0,Very Low,0,Bachelor’s,"Binge-Watching, Music, Reading",252,Extreme User,0.4,Optimistic,171,8,6,44,76,0.24,12,Afternoon,Mutual Match,0
Prefer Not to Say,Straight,Urban,1,Very High,6,Diploma,"Foodie, Poetry, MMA",261,Extreme User,0.17,Choosy,51,28,6,346,42,0.04,19,After Midnight,Chat Ignored,1
Female,Queer,Small Town,3,Low,1,Postdoc,"Skating, DIY, Astrology",133,Addicted,0.67,Optimistic,0,0,1,152,60,0.26,3,Afternoon,Instant Match,0
Male,Bisexual,Metro,0,Lower-Middle,2,No Formal Education,"Traveling, Painting, Social Activism",83,High,0.75,Swipe Maniac,107,26,2,408,82,0.15,13,Afternoon,Ghosted,2
Genderfluid,Bisexual,Remote Area,5,Middle,3,PhD,"Cars, DIY, Pets",232,Extreme User,0.14,Choosy,94,24,2,174,86,0.08,8,Early Morning,Blocked,0
Non-binary,Bisexual,Small Town,3,Middle,3,Master’s,"History, Writing, Astrology",121,Addicted,0.56,Optimistic,102,21,2,321,21,0.15,5,After Midnight,Mutual Match,0
Genderfluid,Pansexual,Metro,0,Very Low,0,Master’s,"Spirituality, Gardening, Binge-Watching",183,Extreme User,0.54,Optimistic,129,28,5,357,25,0.31,19,After Midnight,Mutual Match,0
Male,Queer,Metro,0,Very High,6,Diploma,"Running, Gaming, Art",122,Addicted,0.34,Balanced,130,17,2,463,92,0.4,4,Late Night,Date Happened,0
Male,Asexual,Remote Area,5,Upper-Middle,4,Associate’s,"Art, Social Activism, Politics",12,Very Low,0.4,Optimistic,33,26,4,317,88,0.4,21,Evening,Blocked,0
Genderfluid,Asexual,Rural,4,Lower-Middle,2,Diploma,"Art, Gaming, Yoga",132,Addicted,0.59,Optimistic,137,24,0,154,89,0.19,13,Late Night,Relationship Formed,0
Transgender,Straight,Small Town,3,High,5,PhD,"Binge-Watching, Fashion, Spirituality",89,High,0.29,Balanced,124,5,2,224,59,0.11,3,Early Morning,Instant Match,0
Transgender,Queer,Suburban,2,Middle,3,Postdoc,"Reading, Astrology, Poetry",62,High,0.67,Optimistic,103,5,0,379,62,0.22,6,Evening,Date Happened,0
Male,Bisexual,Remote Area,5,Upper-Middle,4,PhD,"Fashion, Cooking, Coding",10,Very Low,0.33,Balanced,178,20,1,463,9,0.41,18,After Midnight,One-sided Like,0
Transgender,Demisexual,Metro,0,Very High,6,High School,"Board Games, Anime, Memes",203,Extreme User,0.46,Optimistic,158,23,4,267,92,0.29,18,After Midnight,Chat Ignored,1
Transgender,Demisexual,Suburban,2,High,5,High School,"Investing, Traveling, Pets",159,Addicted,0.43,Optimistic,118,18,5,322,23,0.42,4,Afternoon,Date Happened,0
Transgender,Demisexual,Metro,0,Very Low,0,PhD,"Movies, Binge-Watching, Running",47,Moderate,0.75,Swipe Maniac,163,8,4,340,73,0.29,11,Evening,Catfished,0
Female,Asexual,Metro,0,Upper-Middle,4,Master’s,"Motorcycling, Pets, Fashion",161,Addicted,0.68,Optimistic,38,19,4,28,3,0.23,19,Morning,No Action,0
